"ID_PLZ","ESTADO_PLZ","ID_PRO_PLZ","INICIO_VIGENCIA_PLZ","FIN_VIGENCIA_PLZ","FECHA_CAN_PLZ","VALOR_SEGURO_PLZ","ID_MOT_PLZ"
"1","A","11","2/19/2019","12/26/2023","","90.8",""
"2","A","9","7/18/2013","12/31/2023","","94.3",""
"3","A","15","1/5/2013","12/22/2023","","75.2",""
"4","A","16","6/7/2018","1/1/2024","","97.1",""
"5","A","16","9/7/2018","12/9/2023","","54.1",""
"6","A","8","8/31/2018","12/21/2023","","62.7",""
"7","A","8","11/16/2018","12/1/2023","","58.2",""
"8","A","3","11/21/2018","12/20/2023","","63.5",""
"9","A","21","11/1/2018","12/10/2023","","69.2",""
"10","A","20","12/26/2018","12/24/2023","","101.8",""
"11","A","20","12/25/2018","12/7/2023","","52.9",""
"12","A","11","12/26/2018","12/12/2023","","93.5",""
"13","A","16","12/17/2018","12/31/2023","","112",""
"14","A","11","10/23/2018","12/26/2023","","112.9",""
"15","A","13","1/2/2019","12/1/2023","","72.6",""
"16","A","11","1/2/2019","12/20/2023","","57.7",""
"17","A","9","11/5/2018","12/8/2023","","82.6",""
"18","A","1","11/5/2018","12/18/2023","","87.3",""
"19","A","17","11/5/2018","12/26/2023","","116.7",""
"20","A","10","11/5/2018","12/30/2023","","106.3",""
"21","A","20","11/5/2018","12/31/2023","","104",""
"22","A","2","11/5/2018","12/18/2023","","104.7",""
"23","A","10","11/5/2018","12/10/2023","","63.9",""
"24","A","17","11/5/2018","12/10/2023","","74.4",""
"25","A","11","1/2/2019","1/1/2024","","77.1",""
"26","A","12","11/5/2018","12/8/2023","","101.3",""
"27","A","2","11/5/2018","12/9/2023","","108.3",""
"28","A","14","11/5/2018","12/26/2023","","56.7",""
"29","A","11","11/5/2018","12/27/2023","","95",""
"30","A","14","11/5/2018","12/6/2023","","82.9",""
"31","A","3","1/2/2019","12/20/2023","","67.7",""
"32","A","12","11/5/2018","12/15/2023","","107.5",""
"33","A","19","11/5/2018","12/23/2023","","87.8",""
"34","A","18","11/5/2018","12/8/2023","","93.7",""
"35","A","12","11/5/2018","12/29/2023","","73",""
"36","A","6","11/5/2018","12/13/2023","","72.1",""
"37","A","11","11/5/2018","12/4/2023","","93.8",""
"38","A","10","1/2/2019","12/25/2023","","99.1",""
"39","A","8","11/5/2018","12/15/2023","","81.3",""
"40","A","6","11/5/2018","12/21/2023","","96.6",""
"41","A","16","11/5/2018","12/29/2023","","87.2",""
"42","A","6","11/5/2018","12/17/2023","","71.4",""
"43","A","10","11/5/2018","12/24/2023","","55.4",""
"44","A","16","11/5/2018","12/11/2023","","65.3",""
"45","A","17","11/5/2018","12/18/2023","","107.2",""
"46","A","15","11/5/2018","12/23/2023","","106.6",""
"47","A","9","11/5/2018","12/1/2023","","119.9",""
"48","A","12","11/5/2018","12/25/2023","","107",""
"49","A","9","11/5/2018","12/26/2023","","100.1",""
"50","A","13","1/2/2019","12/7/2023","","99.6",""
"51","A","15","1/2/2019","12/2/2023","","70.6",""
"52","A","17","11/5/2018","12/25/2023","","56.5",""
"53","A","7","10/29/2018","12/11/2023","","60",""
"54","A","19","1/2/2019","12/30/2023","","103.4",""
"55","A","6","1/2/2019","12/2/2023","","85.5",""
"56","A","3","1/2/2019","12/28/2023","","71.5",""
"57","A","7","1/2/2019","1/1/2024","","97.8",""
"58","A","20","1/2/2019","12/11/2023","","79.9",""
"59","A","22","1/7/2019","12/28/2023","","63.3",""
"60","A","22","1/2/2019","12/9/2023","","69.9",""
"61","A","10","11/1/2018","12/4/2023","","74.4",""
"62","A","8","12/19/2018","12/19/2023","","118",""
"63","C","6","1/2/2019","1/31/2019","5/18/2022","97.9","7"
